author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/306341785/;Москва;sale;flat;2;12;1;83.3;172590000;2027;-1;Монолитно-кирпичный;-1;Без отделки;14,9 м²;41,8 м²;+74951387057;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;2024;-1;Монолитно-кирпичный;-1;Без отделки;16,4 м²;14,6 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;2023;-1;-1;-1;-1;39 м²;15 м²;+79057122519;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;18,8 м²;24,9 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308207546/;Москва;sale;flat;14;41;1;48.0;31500000;2024;-1;-1;-1;-1;22,5 м²;12 м²;+79152977461;Раменки;1-й Сетуньский проезд;вл8;Кутузовская;Hide
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;2027;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387048;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Москва;sale;flat;14;32;1;44.0;32500000;2021;-1;-1;-1;-1;25 м²;10 м²;+79152977461;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;139410000;2024;-1;Монолитный;-1;Без отделки;14,2 м²;31 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;sale;flat;4;13;1;43.6;37500000;-1;-1;-1;-1;-1;14 м²;16,8 м²;+79663386401;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;9,7 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/307810501/;Москва;sale;flat;75;95;1;57.0;47000000;2017;-1;-1;-1;-1;37 м²;10 м²;+79651079355;Пресненский;набережная Пресненская;12;Деловой центр;Башня Федерация
MR Group;developer;https://www.cian.ru/sale/flat/306603296/;Москва;sale;flat;7;36;1;40.9;30348986;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951378819;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;2024;-1;-1;-1;Без отделки;48,9 м²;-1;+79645659386;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
MR Group;developer;https://www.cian.ru/sale/flat/300288186/;Москва;sale;flat;3;49;1;38.79;18572846;2025;-1;Монолитный;-1;Предчистовая, чистовая;13,1 м²;-1;+74951374843;Савеловский;;;Дмитровская;Симфония 34 ЖК
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308082096/;Москва;sale;flat;12;16;1;44.0;26296000;2023;-1;-1;-1;-1;15 м²;19 м²;+79645385768;Раменки;проспект Генерала Дорохова;39к2Л;Минская;Собрание клубных домов West Garden
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;2026;-1;-1;-1;Без отделки;26,8 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва;sale;flat;7;20;1;43.09;20252300;2024;-1;-1;-1;-1;10,6 м²;18,7 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
Hutton Development;developer;https://www.cian.ru/sale/flat/304286459/;Москва;sale;flat;2;6;1;48.3;95634000;2026;-1;-1;-1;Без отделки;-1;-1;+74951379715;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Москва;sale;flat;15;28;1;40.0;30500000;2022;-1;-1;-1;-1;16 м²;18 м²;+79660643343;Раменки;Винницкая ;8к3;Раменки;Настоящее
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308081007/;Москва;sale;flat;4;6;1;50.2;57228000;2025;-1;Монолитно-кирпичный;-1;Без отделки;12,3 м²;23,9 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С9;Новокузнецкая;Клубный дом Космо 4/22
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/307494611/;Москва;sale;flat;2;44;1;48.1;25000000;2018;-1;-1;-1;-1;30 м²;3 м²;+79684614375;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
MR Group;developer;https://www.cian.ru/sale/flat/308088559/;Москва;sale;flat;3;7;1;78.45;196125000;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;19,1 м²;29,7 м²;+74951389336;Арбат;Крестовоздвиженский переулок;4;Арбатская;LUCE
Unique;real_estate_agent;https://www.cian.ru/sale/flat/287678758/;Москва;sale;flat;4;26;1;46.0;34000000;2021;-1;-1;-1;-1;-1;-1;+79660620617;Очаково-Матвеевское;Нежинская ;5к2;Давыдково;Городские резиденции SPIRES
MR Group;developer;https://www.cian.ru/sale/flat/309097265/;Москва;sale;flat;2;21;1;39.4;17743593;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;14,1 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Оксана Гимишян;realtor;https://www.cian.ru/sale/flat/307280914/;Москва;sale;flat;2;12;1;38.7;14990000;1985;-1;-1;-1;-1;20,7 м²;8,3 м²;+79857267452;Раменки; Улофа Пальме;3;Минская;
Apsis Globe;developer;https://www.cian.ru/sale/flat/296193001/;Москва;sale;flat;6;9;1;37.04;10800000;2025;-1;Монолитно-кирпичный;-1;Чистовая;14,8 м²;4 м²;+74951379085;Косино-Ухтомский; Николая Старостина;14;Реутов;МФК CITIMIX Новокосино
ID 13544436;realtor;https://www.cian.ru/sale/flat/308257166/;Москва;sale;flat;2;5;1;30.0;7400000;2021;-1;-1;-1;-1;14 м²;9 м²;+79859681260;; Жемчужная;1к14;Филатов Луг;
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307655528/;Москва;sale;flat;3;14;1;43.5;12000000;1989;-1;-1;-1;-1;20 м²;9 м²;+79637145462;Марьино; Перерва;26К2;Марьино;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Москва;sale;flat;11;14;1;35.0;13900000;1973;-1;-1;-1;-1;19 м²;10 м²;+79689523570;Раменки;1-й Сетуньский проезд;10;Кутузовская;
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/280751407/;Москва;sale;flat;4;7;1;33.56;5600000;2024;-1;-1;-1;Без отделки;12,5 м²;10,5 м²;+79154398945;; Луговая;;Рассказовка;Эдельвейс
Capital Group;developer;https://www.cian.ru/sale/flat/307771836/;Москва;sale;flat;12;18;1;53.4;62039716;2025;-1;-1;-1;Неизвестно;-1;-1;+74951374084;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Среда;developer;https://www.cian.ru/sale/flat/307731097/;Москва;sale;flat;18;30;1;31.03;14264459;2027;-1;-1;-1;Неизвестно;20,1 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307098964/;Москва;sale;flat;7;48;1;55.5;33000000;2024;-1;-1;-1;Без отделки;27 м²;7,7 м²;+79854040807;Ростокино; Вильгельма Пика;3С1;Ботанический сад;Режиссёр
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308934281/;Москва;sale;flat;6;17;1;36.3;12500000;2006;-1;-1;-1;-1;17 м²;8 м²;+79651096613;Кунцево; Коцюбинского;10;Кунцевская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307866179/;Москва;sale;flat;14;17;1;37.9;14900000;2009;-1;-1;-1;-1;-1;8 м²;+79672850658;Кунцево;Ярцевская ;28;Молодёжная;
Эталон;developer;https://www.cian.ru/sale/flat/303391786/;Москва;sale;flat;2;17;1;39.6;21010988;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;13,1 м²;14,4 м²;+74951387063;Даниловский; Ларионова;;Технопарк;Shagal
MR Group;developer;https://www.cian.ru/sale/flat/308167171/;Москва;sale;flat;6;15;1;36.4;14672330;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;12,4 м²;-1;+74951346365;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305694039/;Москва;sale;flat;22;22;1;19.1;10110000;1980;-1;-1;-1;-1;14 м²;4 м²;+79647824573;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305694241/;Москва;sale;flat;22;22;1;20.2;10380000;1980;-1;-1;-1;-1;16 м²;3 м²;+79647824573;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/307206751/;Москва;sale;flat;10;14;1;35.0;8900000;-1;-1;-1;-1;-1;19,4 м²;10 м²;+79153239664;Вешняки; Молдагуловой;4;Вешняки;
Stenoy;developer;https://www.cian.ru/sale/flat/300878920/;Москва;sale;flat;10;12;1;34.4;19372498;2026;-1;Монолитно-кирпичный;-1;Без отделки, черновая, чистовая;11,8 м²;11,7 м²;+74997155851;Преображенское;Электрозаводская ;60;Преображенская площадь;ARTEL
А101;developer;https://www.cian.ru/sale/flat/306743021/;Москва;sale;flat;2;13;1;33.0;10088067;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;12,5 м²;9,9 м²;+74951387175;;;к11.2.1;Прокшино;Прокшино ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/306642864/;Москва;sale;flat;5;14;1;43.7;23571780;2025;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;13,1 м²;17,6 м²;+74951387018;Лефортово;бульвар Сенкевича;;Римская;Символ
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/309286831/;Москва;sale;flat;7;7;1;32.0;11000000;-1;-1;-1;-1;-1;13 м²;5 м²;+79645658569;Марьина роща;проезд 3-й Марьиной рощи;40С1;Марьина Роща;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/306015060/;Москва;sale;flat;9;10;1;32.3;13000000;2024;-1;-1;-1;-1;10 м²;8 м²;+79057179161;Головинский;Михалковская ;52С7;Коптево;
3SGroup;developer;https://www.cian.ru/sale/flat/299379236/;Москва;sale;flat;7;17;1;36.9;10938448;2026;-1;-1;-1;Без отделки;13,7 м²;18,2 м²;+74951374320;;;;Корниловская;FOREVILLE
Среда;developer;https://www.cian.ru/sale/flat/308340407/;Москва;sale;flat;24;30;1;34.74;15811633;2027;-1;Монолитный;-1;Без отделки, предчистовая;12,1 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
5 ДОНСКОЙ;developer;https://www.cian.ru/sale/flat/304449331/;Москва;sale;flat;52;75;1;46.92;33668665;2026;-1;Монолитный;-1;Предчистовая;-1;-1;+74951370056;Донской;5-й Донской проезд;вл21к6;Площадь Гагарина;The Five
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/296522785/;Москва;sale;flat;15;20;1;50.0;26000000;2024;-1;-1;-1;Без отделки;30 м²;8 м²;+79653037353;Раменки;Кинематографический кв-л;;Аминьевская;Событие ЖК
ID 17225819;homeowner;https://www.cian.ru/sale/flat/309295667/;Москва;sale;flat;10;14;1;38.0;9200000;1993;-1;-1;-1;-1;-1;8 м²;+79175746869;Крюково;Зеленоград;к1602;Зеленоград — Крюково;
3SGroup;developer;https://www.cian.ru/sale/flat/304854209/;Москва;sale;flat;2;17;1;33.2;9099695;2026;-1;-1;-1;Без отделки;12,1 м²;16,1 м²;+74951374320;;;;Корниловская;FOREVILLE
Апрелевка С2;developer;https://www.cian.ru/sale/flat/298379463/;Москва;sale;flat;3;3;1;35.6;6443600;2022;-1;-1;-1;Чистовая;-1;-1;+74951374087;ТАО (Троицкий); Генерала Донскова;27к4;;Борисоглебское
;;https://www.cian.ru/sale/flat/277242404/;Москва;sale;flat;2;9;1;43.7;6860900;2024;-1;-1;-1;Без отделки;-1;-1;+74951376364;;;к5Б;Крёкшино;Эдельвейс ЖК
Апрелевка С2;developer;https://www.cian.ru/sale/flat/297846878/;Москва;sale;flat;1;3;1;39.2;6860000;2023;-1;-1;-1;Без отделки;-1;-1;+74951374087;; Генерала Донскова;29к5;Апрелевка;Борисоглебское
ПИК;developer;https://www.cian.ru/sale/flat/308079455/;Москва;sale;flat;2;11;1;32.3;7140270;2026;-1;Панельный, монолитный;-1;Чистовая;9,4 м²;15,6 м²;+74951370503;Южное Бутово;;;Щербинка;Никольские Луга ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309308441/;Москва;sale;flat;1;23;1;42.71;7444802;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;14,7 м²;15,6 м²;+74997098514;;;13;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309188067/;Москва;sale;flat;7;14;1;35.4;7414136;2025;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;10,7 м²;9,7 м²;+74951374687;;;к1;Филатов Луг;Квартал Марьино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/309259245/;Москва;sale;flat;2;11;1;36.5;7552762;2026;-1;Панельный, монолитный;-1;Чистовая;9,7 м²;18,3 м²;+74951370503;Южное Бутово;;;Щербинка;Никольские Луга ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309190370/;Москва;sale;flat;3;13;1;32.54;7812025;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;9,4 м²;15,4 м²;+74951374954;;;к13;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309190369/;Москва;sale;flat;3;13;1;36.02;7802966;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11 м²;9,4 м²;+74951374954;;;к13;Щербинка;Алхимово ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/309008586/;Москва;sale;flat;2;23;1;41.3;7768530;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;14,7 м²;14,4 м²;+74951370084;;;;Филатов Луг;Детали ЖК
;;https://www.cian.ru/sale/flat/308761984/;Москва;sale;flat;2;16;1;31.04;8042947;2026;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+78005116552;поселок Газопровод; Лесные Поляны 5-я;2;Корниловская;Смарт Гарден ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306987536/;Москва;sale;flat;2;17;1;32.6;8019110;2026;-1;Монолитный;-1;Чистовая;9,5 м²;16,2 м²;+74951370485;; Мостотреста;;Щербинка;Юнино
Самолет;developer;https://www.cian.ru/sale/flat/309186467/;Москва;sale;flat;8;9;1;40.9;8124172;2026;-1;-1;-1;Неизвестно;11 м²;19,8 м²;+74951378825;;;к31;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309190442/;Москва;sale;flat;3;13;1;36.02;8284562;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11 м²;9,4 м²;+74951374954;;;к9;Щербинка;Алхимово ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/309008620/;Москва;sale;flat;3;23;1;41.5;8263480;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;13,1 м²;13,7 м²;+74951370084;;;;Филатов Луг;Детали ЖК
А101;developer;https://www.cian.ru/sale/flat/306745757/;Москва;sale;flat;4;17;1;33.0;8384838;2025;-1;-1;-1;Без отделки;11,8 м²;10,6 м²;+74951344536;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306483820/;Москва;sale;flat;2;28;1;40.8;8620876;2027;-1;Панельный;-1;Чистовая;9,1 м²;16,6 м²;+74996487215;Крюково;Зеленоград;6.5;Зеленоград — Крюково;Зелёный парк
Самолет;developer;https://www.cian.ru/sale/flat/309190308/;Москва;sale;flat;6;11;1;37.0;8645836;2023;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;18,1 м²;10,4 м²;+74951374954;; Уточкина;5к2;Щербинка;Алхимово
Самолет;developer;https://www.cian.ru/sale/flat/309186599/;Москва;sale;flat;9;9;1;34.87;8554611;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,9 м²;9,5 м²;+74951378825;;;к20;Рассказовка;Новое Внуково ЖК
А101;developer;https://www.cian.ru/sale/flat/306745200/;Москва;sale;flat;8;9;1;32.7;8855582;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,9 м²;10,2 м²;+74951375220;;;1.2;Толстопальцево;Родные кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306744927/;Москва;sale;flat;4;10;1;37.9;8885956;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;14,7 м²;11,2 м²;+74951375220;;;1.1;Толстопальцево;Родные кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309301727/;Москва;sale;flat;10;14;1;37.6;8959711;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;11,2 м²;18,5 м²;+74951374063;;;к19;Щербинка;Остафьево ЖК
Самолет плюс;real_estate_agent;https://www.cian.ru/sale/flat/309180251/;Москва;sale;flat;9;9;1;43.4;9000000;1970;-1;-1;-1;-1;28 м²;9 м²;+79645382798;Вешняки;Снайперская ;6К3;Вешняки;
Игорь Воробьёв;realtor;https://www.cian.ru/sale/flat/305787825/;Москва;sale;flat;9;9;1;23.0;9000000;1972;-1;-1;-1;-1;14 м²;3 м²;+79645640319;Северное Медведково; Грекова;8;Медведково;
Самолет;developer;https://www.cian.ru/sale/flat/309190349/;Москва;sale;flat;3;10;1;42.88;9306451;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;12,1 м²;21,2 м²;+74951374954;;;к13;Щербинка;Алхимово ЖК
А101;developer;https://www.cian.ru/sale/flat/308314316/;Москва;sale;flat;14;15;1;37.0;9273617;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;13,9 м²;10,8 м²;+74951379021;;;18.2.4;Бунинская аллея;Скандинавия ЖК
Самолет;developer;https://www.cian.ru/sale/flat/309185946/;Москва;sale;flat;10;14;1;49.29;9505071;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;15,8 м²;19,5 м²;+74951374063;;;к19;Щербинка;Остафьево ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/308015825/;Москва;sale;flat;4;17;1;33.4;9544436;2027;-1;Панельный, монолитный;-1;Без отделки, чистовая;12,7 м²;-1;+74993896306;;;;Мичуринец;Переделкино Ближнее Город-парк
А101;developer;https://www.cian.ru/sale/flat/308314203/;Москва;sale;flat;4;19;1;38.7;9541748;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;15,4 м²;10,6 м²;+74951379021;;;18.1.3;Бунинская аллея;Скандинавия ЖК
ПИК;developer;https://www.cian.ru/sale/flat/308370943/;Москва;sale;flat;24;30;1;34.3;9837411;2027;-1;Монолитный;-1;Без отделки, чистовая;9 м²;14,7 м²;+74951375210;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
А101;developer;https://www.cian.ru/sale/flat/308314537/;Москва;sale;flat;3;12;1;37.3;9810012;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;13,9 м²;11 м²;+74951379021;;;18.2.5;Бунинская аллея;Скандинавия ЖК
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/298431321/;Москва;sale;flat;2;17;1;36.2;9950000;2003;-1;-1;-1;-1;17,7 м²;10,1 м²;+79154398945;Бирюлево Восточное;Загорьевская ;21к1;Домодедовская;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/302955097/;Москва;sale;flat;3;12;1;39.0;9999000;1971;-1;-1;-1;-1;24 м²;6,5 м²;+79623644015;Преображенское;2-я Пугачевская ;9К1;Преображенская площадь;
